name_content,org_title,last_eps,year,category,actors,emberUrlFull,serverstr,pathcode,note,img,from,src
Mối Quan Hệ Phức Tạp – Lagaslas,,HD,Năm: 2023,"Thể loại: Phim Lẻ, Phim Lẻ Mới, Phim Tâm Lý",Quốc gia:Philippines,https://phimgihd.net/player/hydrax.php?link=https://playhydrax.com/?v=poZSv4RrT, Server #HYDRAX ,moi-quan-he-phuc-tap-lagaslas-tap-1-server-1,,http://photos.q00gle.com/storage/files/images-2021/images-movies/09/64aa900e2afe1.jpg,https://phimgihd.net/moi-quan-he-phuc-tap-lagaslas/,phimgihd
Mùi Hương Của Vàng – CASH (Gold Brick),,HD,Năm: 2023,"Thể loại: Phim Hài Hước, Phim Lẻ, Phim Lẻ Mới, Phim Netflix, Phim Tâm Lý",Quốc gia:Mỹ,https://phimgihd.net/player/hydrax.php?link=https://playhydrax.com/?v=FUG5nu9IN, Server #HYDRAX ,mui-huong-cua-vang-cash-gold-brick-tap-1-server-1,,http://photos.q00gle.com/storage/files/images-2021/images-movies/09/64aa8fce8c0b7.jpg,https://phimgihd.net/mui-huong-cua-vang-cash-gold-brick/,phimgihd
Cô Gái Mất Tích – Lost In The Stars,,CAM,Năm: 2018–2020,"Thể loại: PHIM BOM TẤN - CHIẾU RẠP, Phim Hình Sự, Phim Lẻ, Phim Lẻ Mới, Phim Tâm Lý",Quốc gia:Trung Quốc,https://phimgihd.net/player/hydrax.php?link=https://playhydrax.com/?v=uKjODRiRl, Server #HYDRAX ,co-gai-mat-tich-lost-in-the-stars-tap-1-server-1,,http://photos.q00gle.com/storage/files/images-2021/images-movies/09/64aa8e3da3a8a.jpg,https://phimgihd.net/co-gai-mat-tich-lost-in-the-stars/,phimgihd
Vệ Binh Dải Ngân Hà 3 – Guardians of the Galaxy Vol. 3,,HD,Năm: 2023,"Thể loại: PHIM BOM TẤN - CHIẾU RẠP, Phim Hài Hước, Phim Hành Động, Phim Lẻ, Phim Lẻ Mới, Phim Phiêu Lưu, Phim Viễn Tưởng",Quốc gia:Mỹ,https://phimgihd.net/player/hydrax.php?link=https://playhydrax.com/?v=CAob845aN, Server #HYDRAX ,ve-binh-dai-ngan-ha-3-guardians-of-the-galaxy-vol-3-tap-1-server-1,,http://photos.q00gle.com/storage/files/images-2021/images-movies/09/645a826d56cce.jpg,https://phimgihd.net/ve-binh-dai-ngan-ha-3-guardians-of-the-galaxy-vol-3/,phimgihd
Vây Hãm: Không Lối Thoát – The Roundup: No Way Out,,HD,Năm: 2023,"Thể loại: PHIM BOM TẤN - CHIẾU RẠP, Phim Hành Động, Phim Hình Sự, Phim Hồi Hộp-Gây Cấn, Phim Lẻ, Phim Lẻ Mới",Quốc gia:Hàn Quốc,https://phimgihd.net/player/hydrax.php?link=https://playhydrax.com/?v=l0eawf8cFB, Server #HYDRAX ,vay-ham-khong-loi-thoat-the-roundup-no-way-out-tap-1-server-1,,http://photos.q00gle.com/storage/files/images-2021/images-movies/09/64a5925727bee.jpeg,https://phimgihd.net/vay-ham-khong-loi-thoat-the-roundup-no-way-out/,phimgihd
Nam Mao Bắc Mã – Nanmao and Beima,,HD,Năm: 2023,"Thể loại: Phim Hành Động, Phim Lẻ, Phim Lẻ Mới, Phim Viễn Tưởng",Quốc gia:Trung Quốc,https://phimgihd.net/player/hydrax.php?link=https://playhydrax.com/?v=T_0LShNqX, Server #HYDRAX ,nam-mao-bac-ma-nanmao-and-beima-tap-1-server-1,,http://photos.q00gle.com/storage/files/images-2021/images-movies/09/64a59216edb18.jpg,https://phimgihd.net/nam-mao-bac-ma-nanmao-and-beima/,phimgihd
Đông Du Bát Tiên Phục Ma – Travel To The East,,HD,Năm: 2023,"Thể loại: Phim Hành Động, Phim Lẻ, Phim Lẻ Mới",Quốc gia:Trung Quốc,https://phimgihd.net/player/hydrax.php?link=https://playhydrax.com/?v=x19ydjUmQ, Server #HYDRAX ,dong-du-bat-tien-phuc-ma-travel-to-the-east-tap-1-server-1,,http://photos.q00gle.com/storage/files/images-2021/images-movies/09/64a43ccb10ef2.jpg,https://phimgihd.net/dong-du-bat-tien-phuc-ma-travel-to-the-east/,phimgihd
Kill Her Goats – Kill Her Goats,,HD,Năm: 2023,"Thể loại: Phim Hồi Hộp-Gây Cấn, Phim Kinh Dị, Phim Lẻ, Phim Lẻ Mới",Quốc gia:Mỹ,https://phimgihd.net/player/hydrax.php?link=https://playhydrax.com/?v=E8EVjFezW, Server #HYDRAX ,kill-her-goats-kill-her-goats-tap-1-server-1,,http://photos.q00gle.com/storage/files/images-2021/images-movies/09/64a43c90b42a2.jpg,https://phimgihd.net/kill-her-goats-kill-her-goats/,phimgihd
Bão Tố Băng Cốc – Bangkok Storm,,HD,Năm: 2023,"Thể loại: Phim Hành Động, Phim Lẻ, Phim Lẻ Mới",Quốc gia:Trung Quốc,https://phimgihd.net/player/hydrax.php?link=https://playhydrax.com/?v=EMm_MnIgW, Server #HYDRAX ,bao-to-bang-coc-bangkok-storm-tap-1-server-1,,http://photos.q00gle.com/storage/files/images-2021/images-movies/09/64a43bdb0a8f9.jpg,https://phimgihd.net/bao-to-bang-coc-bangkok-storm/,phimgihd
Khóa Chặt Cửa Nào Suzume – Suzume no Tojimari (Suzume’s Door-Locking),,HD,Năm: 2023,"Thể loại: PHIM BOM TẤN - CHIẾU RẠP, Phim Hoạt Hình, Phim Lẻ, Phim Lẻ Mới",Quốc gia:Nhật Bản,https://phimgihd.net/player/hydrax.php?link=https://playhydrax.com/?v=BF1BMkz7B, Server #HYDRAX ,khoa-chat-cua-nao-suzume-suzume-no-tojimari-suzumes-door-locking-tap-1-server-1,,http://photos.q00gle.com/storage/files/images-2021/images-movies/09/64508af978570.jpg,https://phimgihd.net/khoa-chat-cua-nao-suzume-suzume-no-tojimari-suzumes-door-locking/,phimgihd
